codiUp;superficieRealSol;estatUrbanisticDescription;comercialitzacio;dretPropietat;codiMunicipi;nomMunicipi;descripcioActuacio;COD_CLAS;X;Y;"Total valor cadastral
"
23396;2820,95;Sòl net totalment urbanitzat;VERDADERO;VERDADERO;43162;VANDELLÒS I L'HOSPITALET DE L'INFANT;Camí de la Porrassa;SUC;324822,4385;4540657,169;2820,95
9093;13257,34;Sòl inactiu;FALSO;VERDADERO;25078;CORBINS;Gibillí;SNU;307147,1471;4616838,247;13257,34
23082;3010;Sòl inactiu;FALSO;VERDADERO;8009;ARGENTONA;el Cros (UAV-2);SNU;451584,6202;4598020,358;3010
24723;12172,32;Sòl inactiu;FALSO;VERDADERO;8061;CASTELLGALÍ;el Pla del Camí;SNU;403590,3065;4614040,72;12172,32
27444;2193804,35;Sòl inactiu;FALSO;VERDADERO;25016;ALGUAIRE;Pinyana;SNU;299015,0225;4621215,566;2193804,35
22240;37302,46;Sòl inactiu;FALSO;VERDADERO;43904;ALDEA,L';Pol. Industrial Catalunya Sud;SNU;299783,717;4515671,458;37302,46
24340;6895,39;Sòl inactiu;FALSO;VERDADERO;43170;VILA-RODONA;Planes del Guardià;SNU;361385,4247;4573157,928;6895,39
27881;1248;Sòl inactiu;FALSO;VERDADERO;8169;PRAT DE LLOBREGAT,EL;Eixample Nord;SNU;422677,3482;4576240,078;1248
9804;1327,65;Sòl net totalment urbanitzat;VERDADERO;VERDADERO;43018;ARNES;Plana del Riu;SUC;268506,6803;4532234,689;1327,65
62;775;Sòl net totalment urbanitzat;VERDADERO;VERDADERO;25062;CAMARASA;Sant Jordi;SUD;323234,2304;4636836,712;775
22709;2270,2;Sòl net totalment urbanitzat;VERDADERO;VERDADERO;17062;ESCALA,L';Closa del Llop;SUD;510363,9654;4662907,153;2270,2
27433;847,19;Sòl inactiu;FALSO;VERDADERO;8165;POBLA DE CLARAMUNT,LA;els Plans d'Arau;;388627,1557;4603649,445;847,19
26969;39196,72;Sòl inactiu;FALSO;VERDADERO;43108;PLA DE SANTA MARIA,EL;la Garriga Gran;SNU;357738,223;4576240,518;39196,72
12389;10708,91;Sòl inactiu;FALSO;VERDADERO;43170;VILA-RODONA;Planes del Guardià;SNU;360196,1444;4573718,374;10708,91
8589;7600;Sòl inactiu;FALSO;VERDADERO;8307;VILANOVA I LA GELTRÚ;el Prat (la Millera);SNU;389646,7427;4562720,433;7600
23792;182;Sòl inactiu;FALSO;VERDADERO;8191;SALLENT;el Barri de l'Estació;SNU;408395,8754;4630077,33;182
23989;85728,81;Sòl inactiu;FALSO;VERDADERO;8156;PALAU-SOLITÀ I PLEGAMANS;la Riera de Caldes;SNU;431998,8615;4601438,987;85728,81
4961;198,4;;FALSO;VERDADERO;8015;BADALONA;el c/ d'A.March;;;;198,4
24356;15595,64;Sòl inactiu;FALSO;VERDADERO;25217;TÀRREGA;Plans d'Ofegat;SNU;347286,1984;4614283,748;15595,64
25496;1240,32;Sòl edificat;FALSO;VERDADERO;8089;GAVÀ;les Bòbiles;SUC;415747,5995;4572998,113;1240,32
21477;1984,41;Sòl inactiu;FALSO;VERDADERO;25217;TÀRREGA;el Boscarró;SNU;345241,7182;4614811,695;1984,41
25535;2016;Sòl edificat;FALSO;VERDADERO;43012;ALTAFULLA;el carrer Marqués de Tamarit;SUC;363599,6238;4555550,663;2016
25712;1985;Sòl edificat;FALSO;VERDADERO;25245;VILALLER;Vilaller;;;;1985
26662;2,8;Sòl inactiu;FALSO;VERDADERO;43094;MÓRA LA NOVA;el Molló;;302047,7613;4554674,827;2,8
7348;22340,3;Sòl inactiu;FALSO;VERDADERO;8031;CALAF;el Rentador;SNU;377188,4343;4620563,459;22340,3
27931;2736,06;Sòl net pendent execució obra;VERDADERO;VERDADERO;8266;CERDANYOLA DEL VALLÈS;el Centre Direccional;SUD;426181,1788;4593378,467;2736,06
25590;2150;Sòl edificat;FALSO;VERDADERO;8240;SANT SADURNÍ D'ANOIA;la Triola;SUC;398645,4081;4587233,919;2150
23934;71;Sòl inactiu;FALSO;VERDADERO;8191;SALLENT;el Barri de l'Estació;SNU;408467,924;4630168,875;71
25276;1702,21;Sòl edificat;FALSO;VERDADERO;17006;ALP;Alp;;;;1702,21
